Id,Attorney_Company__c,Attorney_Email__c,Attorney_Name__c,Plaintiff_A_Number__c,Plaintiff_Birthdate__c,Plantiff_Country_Of_Origin__c,Plaintiff_First_Name__c,Plaintiff_Gender__c,Plaintiff_Last_Name__c,Plaintiff_Port_of_Entry__c,Case_Number__c,Name
a001g000004WZPqAAO,Cogilith LLC,rduxfield92@instagram.com,Reynard Duxfield,618864225,1964-10-25,Indonesia,Reynard,Male,Duxfield,"Tucson, Arizona - 2609",2216953611,SI-0327
a001g000004WZPrAAO,Twinder LLC,nscholer93@wordpress.com,Nikolaos Scholer,382664679,1984-02-17,China,Nikolaos,Male,Scholer,"Tucson, Arizona - 2609",4213220312,SI-0328
a001g000004WZPsAAO,Skajo LLC,dcossar94@time.com,Debra Cossar,741474276,1959-03-26,Iraq,Debra,Female,Cossar,"Tucson, Arizona - 2609",5661611580,SI-0329
a001g000004WZPtAAO,Devshare LLC,smacallaster95@ucoz.com,Sascha MacAllaster,797329587,1968-09-17,China,Sascha,Male,MacAllaster,"Amarillo, Texas - 5502",5253224892,SI-0330
a001g000004WZPuAAO,Rhyzio LLC,lharrie96@tripod.com,Lorianna Harrie,924864142,1996-05-23,Canada,Lorianna,Female,Harrie,"Amarillo, Texas - 5502",6058277959,SI-0331
a001g000004WZPvAAO,Jayo LLC,tcockley97@ycombinator.com,Taryn Cockley,401453220,1973-01-23,Poland,Taryn,Female,Cockley,"Tucson, Arizona - 2609",1424873016,SI-0332
a001g000004WZPwAAO,Realcube LLC,abensley98@hugedomains.com,Ammamaria Bensley,462582678,1993-03-30,China,Ammamaria,Female,Bensley,"Nogales, Arizona - 2604",9736621059,SI-0333
a001g000004WZPxAAO,Dazzlesphere LLC,nbromfield99@yolasite.com,Neddy Bromfield,129737703,1992-11-19,China,Neddy,Male,Bromfield,"Amarillo, Texas - 5502",2565011669,SI-0334
a001g000004WZPyAAO,Podcat LLC,ddionisetto9a@woothemes.com,Duane Dionisetto,634953428,1981-11-01,Nicaragua,Duane,Male,Dionisetto,"Amarillo, Texas - 5502",1344258259,SI-0335
a001g000004WZPzAAO,Dynabox LLC,bmcvane9b@narod.ru,Benny McVane,111531131,1970-08-23,Sweden,Benny,Male,McVane,"Albuquerque, New Mexico - 2407",9293830078,SI-0336
a001g000004WZQ0AAO,Cogilith LLC,abolliver9c@independent.co.uk,Ami Bolliver,213873591,1962-02-18,Ecuador,Ami,Female,Bolliver,"Rio Grande City, Texas - 2307",2034641671,SI-0337
a001g000004WZQ1AAO,Divavu LLC,azecchetti9d@tiny.cc,Amos Zecchetti,300861122,1970-01-17,Ukraine,Amos,Male,Zecchetti,"Calexico East - Class A, California - 2507",8903534645,SI-0338
a001g000004WZQ2AAO,Feedmix LLC,jfiggen9e@ed.gov,Jerrylee Figgen,777303387,1950-09-04,Iran,Jerrylee,Female,Figgen,"Buffalo, New York - 0901",6108741526,SI-0339
a001g000004WZQ3AAO,Ainyx LLC,ogerauld9f@ustream.tv,Obediah Gerauld,188042391,1968-08-17,Russia,Obediah,Male,Gerauld,"Tucson, Arizona - 2609",7968241389,SI-0340
a001g000004WZQ4AAO,Skajo LLC,cweall9g@bloglovin.com,Caprice Weall,470786477,1959-09-03,Philippines,Caprice,Female,Weall,"Tucson, Arizona - 2609",4667037481,SI-0341
a001g000004WZQ5AAO,Centizu LLC,npatry9h@uol.com.br,Nat Patry,629361097,1993-02-26,Macedonia,Nat,Male,Patry,"Buffalo, New York - 0901",4083949116,SI-0342
a001g000004WZQ6AAO,Trupe LLC,rcrowther9i@shareasale.com,Rosalinda Crowther,507956745,1960-03-07,Mexico,Rosalinda,Female,Crowther,"Tucson, Arizona - 2609",4906607956,SI-0343
a001g000004WZQ7AAO,Twinte LLC,gdilloway9j@ft.com,Gabbey Dilloway,175719052,1993-07-28,Russia,Gabbey,Female,Dilloway,"Tucson, Arizona - 2609",9099448663,SI-0344
a001g000004WZQ8AAO,Quatz LLC,rsime9k@qq.com,Rosabel Sime,827100439,1964-01-03,Bolivia,Rosabel,Female,Sime,"Tucson, Arizona - 2609",1646382326,SI-0345
a001g000004WZQ9AAO,Shuffletag LLC,vbroschke9l@chicagotribune.com,Venita Broschke,317009508,1989-05-18,Japan,Venita,Female,Broschke,"Tucson, Arizona - 2609",3751527579,SI-0346
a001g000004WZQAAA4,Skyble LLC,ctax9m@t.co,Colleen Tax,753781087,1951-05-09,Mexico,Colleen,Female,Tax,"Buffalo, New York - 0901",3058104058,SI-0347
a001g000004WZQBAA4,Youopia LLC,abenedidick9n@boston.com,Alvy Benedidick,564390893,1972-08-20,Cameroon,Alvy,Male,Benedidick,"Calexico East - Class A, California - 2507",4443831322,SI-0348
a001g000004WZQCAA4,Nlounge LLC,ofarleigh9o@canalblog.com,Octavius Farleigh,462911517,1985-03-07,China,Octavius,Male,Farleigh,"Amarillo, Texas - 5502",5641466010,SI-0349
a001g000004WZQDAA4,Skiptube LLC,nthorpe9p@free.fr,Nealon Thorpe,707785738,1985-11-22,Argentina,Nealon,Male,Thorpe,"Rio Grande City, Texas - 2307",8664953635,SI-0350
a001g000004WZQEAA4,Jaxspan LLC,mnutter9q@surveymonkey.com,Michaeline Nutter,984804022,1997-07-22,France,Michaeline,Female,Nutter,"Rio Grande City, Texas - 2307",6829141167,SI-0351
a001g000004WZTjAAO,Tagcat LLC,plimmerfr@meetup.com,Phebe Limmer,290160412,1982-02-05,Russia,Phebe,Female,Limmer,"Tucson, Arizona - 2609",9273714944,SI-0568
a001g000004WZTkAAO,Zoomzone LLC,nkonigfs@mozilla.org,Nerta Konig,135873915,1989-02-14,Canada,Nerta,Female,Konig,"Amarillo, Texas - 5502",4820663236,SI-0569
a001g000004WZTlAAO,Plajo LLC,klagdeft@trellian.com,Katee Lagde,998751091,1964-10-05,Indonesia,Katee,Female,Lagde,"Nogales, Arizona - 2604",3647455207,SI-0570
a001g000004WZTmAAO,Avaveo LLC,cbatefu@techcrunch.com,Camilla Bate,154080218,1969-05-23,United Arab Emirates,Camilla,Female,Bate,"Calexico East - Class A, California - 2507",7560904230,SI-0571
a001g000004WZTnAAO,LiveZ LLC,phoworthfv@bloomberg.com,Phillip Howorth,453304911,1998-02-28,Pakistan,Phillip,Male,Howorth,"Amarillo, Texas - 5502",2209738678,SI-0572
a001g000004WZToAAO,Latz LLC,aodunneenfw@go.com,Adan O'Dunneen,946904307,1971-04-16,United States,Adan,Male,O'Dunneen,"Calexico East - Class A, California - 2507",6026978492,SI-0573
a001g000004WZTpAAO,Vitz LLC,phinzerfx@dot.gov,Padget Hinzer,778296387,1974-06-12,China,Padget,Male,Hinzer,"Buffalo, New York - 0901",1639422020,SI-0574
a001g000004WZTqAAO,Meeveo LLC,bruddlefy@mlb.com,Borg Ruddle,459486730,1954-08-17,Netherlands,Borg,Male,Ruddle,"Amarillo, Texas - 5502",3873263705,SI-0575
a001g000004WZTrAAO,Cogidoo LLC,eglyssannefz@guardian.co.uk,Emerson Glyssanne,333712184,1998-07-02,South Africa,Emerson,Male,Glyssanne,"Calexico East - Class A, California - 2507",6407481121,SI-0576
a001g000004WZTsAAO,Latz LLC,kryleg0@ted.com,Kimberlyn Ryle,251846531,1991-12-04,Honduras,Kimberlyn,Female,Ryle,"Buffalo, New York - 0901",6671834960,SI-0577
a001g000004WZTtAAO,Trilia LLC,cdetloffg1@seesaa.net,Chaddie Detloff,478077326,1964-01-17,Brazil,Chaddie,Male,Detloff,"Albuquerque, New Mexico - 2407",5070571922,SI-0578
a001g000004WZTuAAO,Meeveo LLC,msymmonsg2@geocities.com,Meara Symmons,532822591,1971-02-08,Brazil,Meara,Female,Symmons,"Rio Grande City, Texas - 2307",4391072672,SI-0579
a001g000004WZTvAAO,Voonte LLC,dpicardog3@over-blog.com,Dena Picardo,239246740,1990-08-22,China,Dena,Female,Picardo,"Calexico East - Class A, California - 2507",7036831360,SI-0580
a001g000004WZTwAAO,Wikibox LLC,akiddieg4@google.com.br,Alix Kiddie,629296547,1968-05-04,France,Alix,Male,Kiddie,"Nogales, Arizona - 2604",3782310109,SI-0581
a001g000004WZTxAAO,Yozio LLC,paskwithg5@reuters.com,Patrice Askwith,822291578,1950-12-24,Thailand,Patrice,Female,Askwith,"Amarillo, Texas - 5502",8651441929,SI-0582
a001g000004WZTyAAO,Flashpoint LLC,bcaffg6@cnbc.com,Blayne Caff,117360888,1960-06-16,China,Blayne,Male,Caff,"Nogales, Arizona - 2604",9914475655,SI-0583
a001g000004WZTzAAO,Ainyx LLC,eborehamg7@chicagotribune.com,Etti Boreham,711060330,1993-03-31,China,Etti,Female,Boreham,"Tucson, Arizona - 2609",4373175978,SI-0584
a001g000004WZU0AAO,Zoombox LLC,aandrivotg8@mit.edu,Arturo Andrivot,990717941,1953-04-02,Iran,Arturo,Male,Andrivot,"Calexico East - Class A, California - 2507",5995019504,SI-0585
a001g000004WZU1AAO,Midel LLC,dbarajag9@sohu.com,Domenico Baraja,260190396,1966-04-06,United States,Domenico,Male,Baraja,"Nogales, Arizona - 2604",4275216942,SI-0586
a001g000004WZU2AAO,Yacero LLC,ipaulsga@ifeng.com,Ingram Pauls,530136821,1963-05-28,Russia,Ingram,Male,Pauls,"Rio Grande City, Texas - 2307",8955067904,SI-0587
a001g000004WZU3AAO,Voolith LLC,clevertongb@creativecommons.org,Cesaro Leverton,443067734,1965-05-20,Argentina,Cesaro,Male,Leverton,"Nogales, Arizona - 2604",7322609652,SI-0588
a001g000004WZU4AAO,Edgewire LLC,celtongc@quantcast.com,Cosmo Elton,285355674,1987-07-04,Ireland,Cosmo,Male,Elton,"Albuquerque, New Mexico - 2407",1662555965,SI-0589
a001g000004WZU5AAO,Fanoodle LLC,lmattheusgd@accuweather.com,Lauryn Mattheus,210892978,1999-01-05,China,Lauryn,Female,Mattheus,"Nogales, Arizona - 2604",4468596102,SI-0590
a001g000004WZU6AAO,Plajo LLC,nespinage@nsw.gov.au,Noami Espina,897155260,1978-02-11,Italy,Noami,Female,Espina,"Tucson, Arizona - 2609",8987259298,SI-0591
a001g000004WZU7AAO,Demizz LLC,jbroseniusgf@cafepress.com,Jacquenette Brosenius,330900253,1984-03-11,China,Jacquenette,Female,Brosenius,"Rio Grande City, Texas - 2307",7487637008,SI-0592
a001g000004WZaBAAW,Roodel LLC,lbrammerqv@studiopress.com,Lissi Brammer,762298218,1982-09-28,Portugal,Lissi,Female,Brammer,"Nogales, Arizona - 2604",6643204585,SI-0968
a001g000004WZaCAAW,Gabcube LLC,mglozmanqw@mozilla.org,Marti Glozman,494708381,1968-02-06,China,Marti,Female,Glozman,"Amarillo, Texas - 5502",1214653699,SI-0969
a001g000004WZaDAAW,Photobean LLC,tmcsporrinqx@bizjournals.com,Tyrus McSporrin,470441534,1951-03-25,Philippines,Tyrus,Male,McSporrin,"Amarillo, Texas - 5502",6398537264,SI-0970
a001g000004WZaEAAW,Blogpad LLC,cmiltonqy@time.com,Cathryn Milton,122747657,1953-10-07,Nigeria,Cathryn,Female,Milton,"Nogales, Arizona - 2604",9214981465,SI-0971
a001g000004WZaFAAW,Mybuzz LLC,mgreedyerqz@ehow.com,Myriam Greedyer,683414166,1967-07-17,China,Myriam,Female,Greedyer,"Amarillo, Texas - 5502",6415633476,SI-0972
